年度,合　計（%）,建設業（%）,製造業（%）,上下水道業（%）,農業，林業（%）,電気・ガス・熱供給業（%）,情報通信業（%）,運輸業（%）,卸売，小売業（%）,教育，学習（%）,不動産業（%）,学術，専門（%）,宿泊，飲食業（%）,生活，娯楽業（%）,医療，福祉（%）,サービス業（%）,自動車整備業（%）,
24,65.8,15.2,44.4,98.9,35.7,7.7,9.5,25.3,30.7,42.7,11.9,67.6,31.0,14.3,56.3,,9.5,
25,61.6,11.3,44.5,99.3,35.4,1.1,8.2,6.4,14.4,17.8,17.2,45.3,25.5,47.9,58.4,0.8,16.7,
