,ガラス・陶磁器くず（千t）,廃プラスチック類（千t）,汚泥（千t）,鉱さい（千t）,動植物性残さ（千t）,金属くず（千t）,紙くず（千t）,その他（千t）,合計（千t）
昭和57年度,5,5,129,206,10,41,2,76,473
昭和62年度,16,7,63,159,52,17,11,59,384
平成04年度,19,7,1,97,23,39,50,135,371
平成09年度,,,,,,,,,305
平成10年度,8,3,31,68,6,43,21,14,194
平成11年度,27,4,30,43,5,65,29,25,228
平成12年度,22,4,25,37,5,50,26,36,205
平成13年度,31,6,33,47,6,46,35,51,255
平成14年度,31,9,556,,29,31,15,10,681
平成15年度,195,11,32,,5,45,54,76,418
平成16年度,13,12,14,,6,129,13,135,322
平成17年度,3,13,11,21,6,55,7,60,176
平成18年度,52,23,4,18,13,112,15,46,283
平成19年度,75,38,16,27,25,96,27,109,413
平成20年度,81,34,77,13,14,24,2,33,278
平成21年度,21,8,23,,23,1,4,71,151
平成22年度,69,12,57,11,57,8,5,86,305
平成23年度,145,20,58,13,13,9,6,25,289
平成24年度,167,13,74,12,13,9,3,22,313
平成25年度,315,47,45,40,25,23,15,75,584
,,,,,,,,,
