全業種種類別排出量,(千t),(％)
建設汚泥,2285,20.7
その他の汚泥,642,5.8
廃プラスチック,311,2.8
木くず,349,3.2
金属くず,147,1.3
ｶﾞﾗｽ陶磁器くず,680,6.2
がれき類,5868,53.1
混合廃棄物,336,3.0
その他,438,4.0
合　計,11055,100.0
,,
