,再生利用量（千t）,減量化量（千t）,最終処分量（千t）,排出量（千t）,再生利用率（%）,減量化率（%）,最終処分率（%）,,
建設業,7803,1053,499,9355,83.4,11.3,5.3,,
製造業,584,553,105,1242,47.1,44.5,8.4,,
上下水道業,12,13437,89,13538,0.1,99.3,0.7,,
農業，林業,27,15,0,42,64.6,35.4,0.0,,
電気・ガス・熱供給業,17,0,9,26,65.9,1.1,32.9,,
情報通信業,14,1,0,16,89.1,8.2,2.7,,
運輸業,39,3,4,46,84.1,6.4,9.5,,
卸売，小売業,85,15,5,106,80.9,14.4,4.7,,
不動産業,42,12,15,68,60.9,17.2,21.9,,
学術，専門,15,14,2,31,47.4,45.3,7.4,,
生活，娯楽,1,2,1,3,32.7,47.9,19.3,,
宿泊，飲食,18,7,2,28,66.0,25.5,8.5,,
教育，学習,10,4,9,24,44.5,17.8,37.7,,
医療，福祉,18,35,6,59,30.7,58.4,10.9,,
サービス業,4,0,1,4,86.0,0.8,13.3,,
自動車整備業,3,1,1,4,69.7,16.7,13.5,,
合　計,8694,15152,747,24592,35.4,61.6,3.0,,
上下水道除く,8681,1715,658,11055,,,,,
