年度,合　計（千t）,上水汚泥（千t）,下水汚泥（千t）,建設汚泥（千t）,その他の汚泥（千t）,廃プラスチック類（千t）,木くず（千t）,金属くず（千t）,ガラス・陶磁器くず（千t）,がれき類（千t）,混合廃棄物（千t）,その他（千t）
24,7194,3,46,1242,91,183,249,158,293,4604,175,150
25,8694,2,8,1628,99,182,101,133,516,5635,191,199
,,,,,,,,,,,,
,,,,,,,,,,,,
