再利用・減量化・最終処分状況,再生利用量,減量化量,最終処分量,合計
平成２５年度,14,1,0,16
平成２４年度,31,4,7,42
,,,,
,,,,
,,,,
再利用・減量化・最終処分の比率,再生利用率,減量化率,最終処分率,
平成２５年度,89.10%,8.20%,2.70%,100.00%
平成２４年度,73.80%,9.50%,16.70%,100.00%
