06_卸売，小売業　種類別排出量,,,,,,,,,,,
年度,廃プラスチック類（千t）,木くず（千t）,汚泥（千t）,金属くず（千t）,廃油（千t）,ガラス･陶磁器くず（千t）,混合廃棄物（千t）,その他（千t）,合計（千t）,,
25,55,19,8,8,4,4,2,6,106,,
24,32,2,22,11,11,10,8,5,101,,
