区  分/業  種,（A） 調査対象事業所数,（B1）全数抽出（内、多量排出事業者）,（B1）全数抽出 （内、名簿等）,（B1）全数抽出（内、事業所規模）,（B1）全数抽出　合計,（B2）無作為抽出,（B2）抽出率,抽  出事業所数
（件）,（件）,（件）,（件）,（件）,（件）,（件）,（B2）÷（A-B1）(%),（件）
合計,40352,641,0,3594,4235,15765,64.1,20000
農業，林業,50,0,0,0,0,32,64.0,32
建設業,7775,358,0,542,900,3000,25.0,3900
製造業,13051,114,0,1281,1395,7619,65.4,9014
電気・水道業,145,27,0,37,64,0,0.0,64
情報通信業,500,1,0,398,399,0,0.0,399
運輸業,3603,3,0,287,290,917,27.7,1207
卸売，小売業,2502,5,0,488,493,667,33.2,1160
不動産業,2700,9,0,301,310,274,11.5,584
学術，専門,506,10,0,45,55,250,55.4,305
宿泊，飲食業,4300,1,0,66,67,603,14.2,670
生活，娯楽,800,0,0,10,10,350,44.3,360
教育，学習,702,2,0,20,22,301,44.3,323
医療，福祉,3416,109,0,115,224,1602,50.2,1826
サービス業,302,2,0,4,6,150,50.7,156
