,再生利用率（%）,減量化率（%）,最終処分率（%）
昭和57年,21.9,59.4,18.7
昭和62年,17.4,65.7,16.9
平成04年度,15.9,68.4,15.8
平成09年度,13.5,79.0,7.6
平成10年度,9.6,83.4,7.0
平成11年度,12.1,78.7,9.1
平成12年度,13.0,77.8,9.2
平成13年度,14.5,75.1,10.4
平成14年度,38.9,40.5,21.1
平成15年度,23.6,56.2,20.2
平成16年度,24.0,57.8,18.2
平成17年度,16.1,70.0,14.0
平成18年度,21.9,62.0,16.1
平成19年度,28.0,60.4,11.6
平成20年度,24.2,58.3,17.4
平成21年度,19.1,68.5,12.4
平成22年度,40.5,40.1,19.5
平成23年度,29.6,44.6,25.8
平成24年度,31.6,44.4,24.0
平成25年度,47.1,44.5,8.4
