最終処分量,汚泥（千t）,その他（千t）,合計（千t）
昭和57年,600,,600
昭和62年,389,,389
平成04年度,362,,362
平成09年度,175,,175
平成10年度,232,,232
平成11年度,119,,119
平成12年度,106,,106
平成13年度,54,,54
平成14年度,63,,63
平成15年度,33,,33
平成16年度,30,1,31
平成17年度,90,,90
平成18年度,28,,28
平成19年度,27,,27
平成20年度,29,,29
平成21年度,22,,22
平成22年度,17,,17
平成23年度,93,,93
平成24年度,102,2,104
平成25年度,89,0,89
