"選挙名称","時現在","2区 投票者数[人]","2区 投票率[%]"
"平成29年10月22日執行　衆議院議員選挙","8時現在","137","0.44"
"平成29年10月22日執行　衆議院議員選挙","9時現在","406","1.31"
"平成29年10月22日執行　衆議院議員選挙","10時現在","759","2.44"
"平成29年10月22日執行　衆議院議員選挙","11時現在","1612","5.19"
"平成29年10月22日執行　衆議院議員選挙","12時現在","2660","8.56"
"平成29年10月22日執行　衆議院議員選挙","13時現在","3694","11.88"
"平成29年10月22日執行　衆議院議員選挙","14時現在","4626","14.88"
"平成29年10月22日執行　衆議院議員選挙","15時現在","5465","17.58"
"平成29年10月22日執行　衆議院議員選挙","16時現在","6290","20.23"
"平成29年10月22日執行　衆議院議員選挙","17時現在","7009","22.55"
"平成29年10月22日執行　衆議院議員選挙","18時現在","7760","24.96"
"平成29年10月22日執行　衆議院議員選挙","19時現在","8486","27.3"
"平成29年10月22日執行　衆議院議員選挙","20時終了","15235","48.79"

"平成29年10月22日執行　衆議院小選挙区選出議員選挙第2区投票状況速報","Ver201710",,
