"年月[西暦]","施設名称","施設郵便番号","施設所在地","施設方書","廃止届収受日"
"202404","ヘヤーサロン　なかだ","107-0061","東京都港区北青山三丁目3番7号","東急ストア 2階","2024/4/1"
"202404","ＱＢハウスゆりかもめ新橋駅店","105-0021","東京都港区東新橋一丁目1番8号","ゆりかもめ新橋駅改札横","2024/4/5"

"理容所廃止一覧(令和6年4月30日現在)","Ver202404",,,,
