一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準累計,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
570,西東京市住吉町6-1-5,35.743546,139.550903,JGD2011,都道保谷志木線,a,2011-10-12,2011-10-13,4,2,0,1.2,69,66
571,西東京市泉町3-12-35,35.741112,139.557114,JGD2011,都道東大泉田無線,a,2011-10-12,2011-10-13,4,2,2,1.2,68,65
572,西東京市谷戸町1-17-2,35.741058,139.543610,JGD2011,都道ひばりが丘停車場線,a,2011-10-12,2011-10-13,4,2,4.5,1.2,66,62
573,西東京市柳沢2-18-46,35.725296,139.553818,JGD2011,都道東京所沢線(青梅街道),c,2011-10-12,2011-10-13,4,6,3.1,1.2,68,66
574,西東京市南町3-18-40,35.722900,139.542114,JGD2011,市道119号線,a,2011-10-12,2011-10-13,6,2,4,1.2,62,57
575,西東京市西原町5-2,35.738457,139.533951,JGD2011,都道東京所沢線(所沢街道),a,2011-10-12,2011-10-13,4,2,0,1.2,67,65
576,西東京市下保谷2-9,35.751015,139.558899,JGD2011,都道飯田橋石神井新座線,a,2011-10-12,2011-10-13,4,2,3.3,1.2,61,56
577,西東京市保谷町1-19-11,35.732121,139.554703,JGD2011,都道杉並田無線(新青梅街道),b,2011-12-06,2011-12-07,4,2,2.3,1.2,68,65
578,西東京市向台町2-5,35.720837,139.542542,JGD2011,都道調布田無線(武蔵境通り),b,2011-12-06,2011-12-07,4,2,4.5,1.2,66,63
579,西東京市田無町7-18-8,35.732952,139.532471,JGD2011,都道新宿青梅線(新青梅街道),b,2011-12-06,2011-12-07,4,4,3.3,1.2,73,70
