一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準累計,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
7,千代田区麹町6-2,35.685215,139.733078,JGD2011,国道20号,c,2011-07-26,2011-07-28,3,6,6.9,1.5,67,64
17,千代田区神田岩本町15,35.696655,139.775024,JGD2011,国道4号,c,2011-11-15,2011-11-22,3,7,7,1.5,70,68
21,千代田区神田鍛冶町3-6,35.694111,139.771072,JGD2011,国道17号,c,2012-02-14,2012-02-16,3,5,4.3,1.5,67,64
22,中央区日本橋1丁目3,35.682995,139.773178,JGD2011,国道1号(永代通り),C,2011-10-06,2011-10-07,3,6,5.5,1.2,70,68
33,中央区日本橋小伝馬町20,35.692455,139.780502,JGD2011,国道6号(江戸通り),c,2011-06-07,2011-06-10,3,6,4.5,1.2,68,65
38,中央区京橋2-3,35.676660,139.771215,JGD2011,国道15号(中央通り),c,2011-10-18,2011-10-21,3,4,5.4,1.2,67,64
42,港区虎ノ門3丁目4,35.666035,139.746826,JGD2011,国道1号,C,2012-01-25,2012-01-26,3,4,4.6,1.2,70,67
43,港区元赤坂2丁目1,35.675335,139.722519,JGD2011,国道246号,A,2012-01-25,2012-01-26,3,8,6.1,1.2,64,62
49,港区白金台1-2,35.636738,139.730743,JGD2011,国道1号（桜田通り）,c,2012-01-25,2012-01-25,3,8,3.2,1.2,66,63
54,港区高輪2-13,35.634586,139.737762,JGD2011,国道15号（第一京浜）,c,2012-01-25,2012-01-25,3,8,3.2,1.2,69,67
55,港区北青山3-5,35.665634,139.712769,JGD2011,国道246号(青山通り),c,2012-01-30,2012-01-30,3,8,6,1.2,65,65
83,文京区本郷5丁目29,35.711441,139.759155,JGD2011,国道17号,C,2012-02-02,2012-02-03,3,4,4.6,1.2,68,66
89,台東区浅草橋3丁目20,35.701096,139.788528,JGD2011,国道6号,C,2011-12-05,2011-12-06,3,4,6,1.2,70,69
92,台東区浅草橋3丁目20,35.701096,139.788528,JGD2011,国道6号（江戸通り）,c,2011-12-06,2011-12-07,3,4,6,1.2,70,69
104,墨田区東向島1-28-11,35.718777,139.814026,JGD2011,国道6号（水戸街道）,c,2011-09-05,2011-09-09,3,4,3,2,71,69
105,墨田区墨田4-61-9,35.730038,139.826355,JGD2011,国道6号（水戸街道）,c,2011-09-05,2011-09-09,3,4,4,1.2,74,72
108,墨田区江東橋1-7-14,35.695141,139.809860,JGD2011,国道14号（京葉道路）,c,2011-09-26,2011-09-30,3,6,5,2,69,66
109,墨田区緑2-13-7,35.694611,139.800964,JGD2011,国道14号（京葉道路）,c,2011-09-26,2011-09-30,3,4,4,1.2,73,71
119,江東区亀戸7-39-9,35.697147,139.839218,JGD2011,国道14号（京葉道路）,c,2011-06-14,2011-06-15,3,6,5,2.1,72,69
128,江東区東雲2-5,35.640823,139.799210,JGD2011,国道357号（湾岸道路）,c,2011-10-27,2011-10-28,3,4,8,1.5,71,70
138,品川区東大井3丁目18,35.600006,139.738266,JGD2011,国道15号,C,2011-12-07,2011-12-08,3,4,4.7,1.2,73,70
139,品川区南大井2丁目12,35.588818,139.736420,JGD2011,国道15号,C,2011-12-07,2011-12-08,3,8,4.7,1.2,73,68
