一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準累計,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
427,青梅市根ヶ布1-374,35.799896,139.267471,JGD2011,都道青梅飯能線,C,2011-11-16,2011-11-17,4,2,1.4,1.2,71,64
428,青梅市今井3-30,35.799538,139.311554,JGD2011,都道瑞穂富岡線,A,2011-11-16,2011-11-17,4,2,3.2,1.2,68,63
429,青梅市今寺3-466,35.800369,139.299744,JGD2011,都道青梅入間線,B,2011-11-16,2011-11-17,4,2,1,1.2,66,59
430,青梅市新町1-21-13,35.787998,139.298141,JGD2011,都道新宿青梅線（青梅街道）,b,2011-09-12,2011-09-15,4,4,4.5,1.2,67,60
431,青梅市畑中3-953-1,35.779157,139.234967,JGD2011,都道奥多摩青梅線（吉野街道）,a,2011-10-17,2011-10-20,4,2,1.5,1.2,73,68
432,青梅市新町8-20,35.784454,139.309372,JGD2011,市道12号線,b,2011-10-11,2011-10-14,5,4,4.5,1.2,67,64
433,青梅市根ヶ布2-276,35.806583,139.265411,JGD2011,都道青梅飯能線（成木街道）,a,2011-10-03,2011-10-07,4,2,1.5,1.2,71,62
434,青梅市長淵8-233-3,35.779426,139.264700,JGD2011,都道青梅あきる野線（秋川街道）,c,2011-10-24,2011-10-27,4,2,2,1.4,66,62
435,青梅市日向和田3-706,35.786888,139.230652,JGD2011,国道411号（青梅街道）,a,2011-09-26,2011-09-29,3,2,2,1.6,68,62
436,青梅市柚木町2-405-1,35.801417,139.210272,JGD2011,都道奥多摩青梅線（吉野街道）,a,2011-10-31,2011-11-04,4,2,3,1.2,67,61
