一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準累計,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
114,江東区大島2丁目1番地,35.689903,139.820419,JGD2011,都道東京市川線,C,2011-12-13,2011-12-14,4,4,3.9,1.2,68,65
115,江東区古石場1丁目2番地,35.670116,139.792755,JGD2011,都道上野月島線,B,2011-12-13,2011-12-14,4,6,6.1,1.2,68,64
116,江東区平野1丁目2番地,35.678173,139.798935,JGD2011,都道上野月島線,B,2011-12-13,2011-12-14,4,4,3.9,1.2,70,66
117,江東区大島3丁目4番地,35.692505,139.826523,JGD2011,都道王子千住南砂線,B,2011-12-13,2011-12-14,4,4,5.2,1.2,68,65
118,江東区亀戸4-14,35.701527,139.828720,JGD2011,都道放射14号線（蔵前橋通り）,b,2011-05-16,2011-05-17,4,4,4,1.5,71,68
119,江東区亀戸7-39-9,35.697147,139.839218,JGD2011,国道14号（京葉道路）,c,2011-06-14,2011-06-15,3,6,5,2.1,72,69
120,江東区住吉2-28-36,35.689022,139.819382,JGD2011,都道放射31号線（新大橋通り）,b,2011-06-08,2011-06-09,4,4,4,2,66,63
121,江東区大島3-16-2,35.689594,139.829697,JGD2011,都道放射31号線（新大橋通り）,c,2011-05-18,2011-05-19,4,4,3,2,65,60
122,江東区北砂4-13-23,35.676956,139.829224,JGD2011,都道補助111号線（清洲橋通り）,c,2011-05-09,2011-05-10,4,4,3,1.5,68,63
123,江東区南砂4-4-1,35.674496,139.830322,JGD2011,都道放射29号線（葛西橋通り）,c,2011-10-24,2011-10-25,4,4,3,2.5,73,73
124,江東区永代2-31,35.673653,139.792633,JGD2011,都道放射16号線（永代通り）,c,2011-05-26,2011-05-27,4,6,5,1.5,68,66
125,江東区東陽3-27,35.670174,139.815643,JGD2011,都道放射16号線（永代通り）,c,2011-06-01,2011-06-02,4,6,6,1.7,69,67
126,江東区豊洲4-11-18,35.653324,139.799072,JGD2011,都道放射34号線（晴海通り）,c,2011-10-26,2011-10-27,4,7,6,1.2,67,64
127,江東区平野1-2-3,35.678619,139.798462,JGD2011,都道補助110号線（清澄通り）,c,2011-05-25,2011-05-26,4,4,4,1.5,69,66
128,江東区東雲2-5,35.640823,139.799210,JGD2011,国道357号（湾岸道路）,c,2011-10-27,2011-10-28,3,4,8,1.5,71,70
129,江東区森下4-9-22,35.685215,139.806168,JGD2011,都道環状3号線（三ツ目通り）,c,2011-05-24,2011-05-25,4,4,3,2,70,66
130,江東区枝川3-3,35.658913,139.808472,JGD2011,都道環状3号線（三ツ目通り）,c,2011-05-31,2011-06-01,4,6,4,1.5,73,70
131,江東区枝川1-8-15,35.657299,139.802383,JGD2011,都道環状3号線（三ツ目通り）,c,2011-10-25,2011-10-26,4,6,2.7,1.2,70,65
132,江東区東陽4-11-28,35.672993,139.816360,JGD2011,都道放射32号線（四ツ目通り）,c,2011-06-15,2011-06-16,4,4,8,1.2,66,64
133,江東区大島3-4-5,35.692406,139.826218,JGD2011,都道補助116号線（明治通り）,c,2011-05-17,2011-05-18,4,4,5,1.2,68,66
134,江東区大島6-7-8,35.691181,139.835190,JGD2011,都道環状4号線（丸八通り）,b,2011-05-19,2011-05-20,4,4,5.1,2,65,61
135,江東区東砂2-12-14,35.683292,139.843781,JGD2011,都道補助144号線（番所橋通り）,b,2011-06-09,2011-06-10,4,4,4.5,2.1,68,63
136,江東区大島7-30,35.693832,139.841415,JGD2011,首都高速7号小松川線,c,2011-06-13,2011-06-14,2,4,23,25.8,69,65
137,江東区枝川2-1,35.659821,139.805649,JGD2011,首都高速9号深川線,c,2011-05-30,2011-05-31,2,4,28,27,73,69
