一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準累計,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
209,中野区江古田4-2,35.724026,139.665192,JGD2011,都道落合井草線,C,2011-11-28,2011-11-29,4,2,3.1,1.2,70,68
210,中野区鷺宮1-31,35.724491,139.645264,JGD2011,都道落合井草線,C,2011-11-28,2011-11-29,4,2,4.5,1.2,68,65
211,中野区大和町1-12,35.712528,139.653717,JGD2011,都道環状7号線,C,2011-11-29,2011-11-30,4,4,6.5,1.2,78,77
212,中野区江古田4-2,35.724026,139.665192,JGD2011,都道落合井草線（新青梅街道）,c,2011-11-28,2010-11-29,4,2,3.1,1.2,69,68
213,中野区鷺宮2-5,35.724804,139.645691,JGD2011,都道落合井草線（新青梅街道）,c,2010-11-28,2010-11-29,4,2,3,1.2,67,65
214,中野区大和町1-12,35.712528,139.653717,JGD2011,都道環状七号線（環七通り）,c,2010-11-28,2010-11-29,4,4,4.5,1.2,78,77
215,中野区中野5-68,35.709263,139.665207,JGD2011,都道鮫洲大山線（中野通り）,c,2010-11-28,2010-11-29,4,4,3.5,1.2,70,68
216,中野区上鷺宮3-17,35.735073,139.631134,JGD2011,都道椎名町上石神井線（千川通り）,c,2010-11-28,2010-11-29,4,2,2.7,1.2,70,67
217,中野区白鷺2-35,35.719379,139.636078,JGD2011,都道瀬田貫井線（中杉通り）,c,2010-11-28,2010-11-29,4,2,1.1,1.2,68,64
218,中野区弥生町2-4,35.691364,139.676819,JGD2011,区道補助63号線(本郷通り),c,2010-11-28,2010-11-29,6,2,2.2,1.2,66,62
