一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準累計,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
448,昭島市田中町3-10,35.703136,139.350830,JGD2011,国道16号,B,2011-11-09,2011-11-10,3,4,5.1,1.2,72,72
449,昭島市拝島1-8,35.707018,139.346825,JGD2011,国道16号,B,2011-11-09,2011-11-10,3,4,5.4,1.2,75,74
450,昭島市松原町5-19,35.719372,139.339523,JGD2011,国道16号,C,2011-11-16,2011-11-17,3,4,0,1.2,75,75
451,昭島市中神町2-15,35.699181,139.376480,JGD2011,都道八王子武蔵村山線,B,2011-11-09,2011-11-10,4,2,3.4,1.2,69,67
452,昭島市田中町2-16-14,35.702545,139.352905,JGD2011,都道29号立川青梅線（奥多摩街道）,a,2011-11-22,2011-11-25,4,2,1.9,1.2,67,64
453,昭島市昭和町3-6-3,35.708111,139.368393,JGD2011,都道162号三ツ木八王子線（諏訪松中通り）,a,2011-08-30,2011-09-01,4,2,3.5,1.2,68,66
454,昭島市朝日町4-23-28,35.708935,139.369827,JGD2011,市道昭島17号（江戸街道）,c,2011-08-30,2011-09-01,6,2,4.5,1.2,65,61
455,昭島市福島町3-24-20,35.695034,139.374939,JGD2011,都道59号八王子村山線,a,2012-03-06,2012-03-09,4,3,4.6,1.2,69,67
456,昭島市福島町2-25-23,35.696262,139.378708,JGD2011,都道29号立川青梅線（新奥多摩街道）,b,2012-03-06,2012-03-09,4,4,3.8,1.2,71,68
457,昭島市田中町1-29-5,35.704342,139.353302,JGD2011,都道29号立川青梅線（新奥多摩街道）,b,2012-03-20,2012-03-23,4,4,3.5,1.2,69,65
458,昭島市中神町1237,35.711037,139.379517,JGD2011,都道59号八王子武蔵村山線,c,2012-02-07,2012-02-10,4,2,4.3,1.2,67,64
