一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準累計,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
161,大田区南馬込5丁目42,35.585648,139.705750,JGD2011,国道1号,B,2012-01-19,2012-01-20,3,6,2,2.1,73,68
162,大田区大森中2丁目1,35.568119,139.730362,JGD2011,国道15号,C,2012-02-13,2012-02-14,3,4,4.2,2.3,72,71
163,大田区西糀谷3丁目9,35.555283,139.738342,JGD2011,国道131号,C,2012-01-31,2012-02-01,3,6,5,3.3,68,65
164,大田区南馬込2丁目31,35.588638,139.718979,JGD2011,都道環状7号線,B,2012-01-31,2012-02-01,4,4,3.5,2.4,73,72
165,大田区新蒲田1丁目14,35.559662,139.709015,JGD2011,都道環状8号線,C,2012-01-19,2012-01-20,4,4,4.8,2.5,71,66
166,大田区南千束3丁目32,35.599949,139.687881,JGD2011,都道東京丸子横浜線,B,2012-01-19,2012-01-20,4,4,4.2,2.6,72,72
167,大田区北馬込1丁目4,35.600414,139.702194,JGD2011,都道環状7号線,B,2012-01-31,2012-02-01,4,4,4.8,2.5,71,71
168,大田区羽田旭町2,35.552574,139.746201,JGD2011,首都高速1号羽田線,C,2012-02-13,2012-02-14,2,6,13.6,25.5,70,67
169,大田区下丸子1丁目6,35.568806,139.686630,JGD2011,都道大田調布線,C,2012-01-19,2012-01-20,4,2,1.8,2.6,64,58
170,大田区西蒲田7丁目11,35.564270,139.711334,JGD2011,都道大田調布線,C,2012-02-13,2012-02-14,4,2,2.4,2.3,65,62
171,大田区南馬込2-31,35.588638,139.718979,JGD2011,都道環状7号線（環七通り）,b,2012-01-31,2012-02-03,4,4,4.2,2.4,72,71
172,大田区北馬込1-4,35.600414,139.702194,JGD2011,都道環状7号線（環七通り）,b,2012-01-31,2012-02-03,4,4,4.8,2.5,70,70
173,大田区西糀谷3-9,35.555283,139.738342,JGD2011,国道131号（産業道路）,c,2012-01-31,2012-02-03,3,7,5,3.3,67,65
174,大田区大森東4-35,35.566814,139.736649,JGD2011,国道131号（産業道路）,c,2012-01-31,2012-02-03,3,4,3.7,2.2,70,69
