一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準累計,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
314,葛飾区四つ木2丁目4,35.736511,139.835846,JGD2011,国道6号(水戸街道),C,2011-12-15,2011-12-16,3,8,2,1.2,70,68
315,葛飾区水元公園,35.788548,139.869415,JGD2011,都道葛飾吉川松伏線,A,2011-12-15,2011-12-16,4,2,3.7,1.2,68,65
316,葛飾区柴又1丁目37,35.756058,139.872635,JGD2011,都道王子金町江戸川線,C,2011-12-15,2011-12-16,4,2,2.5,1.2,65,59
317,葛飾区亀有3丁目38,35.763786,139.850296,JGD2011,都道環状7号線(環七通り),C,2011-12-15,2011-12-16,4,4,4.3,1.2,71,68
318,葛飾区柴又5丁目45,35.751671,139.884766,JGD2011,都道江戸川堤防線,A,2011-12-15,2011-12-16,4,2,14.5,1.2,58,53
319,葛飾区新宿2丁目25,35.762100,139.858307,JGD2011,都道千住新宿町線,B,2011-12-15,2011-12-16,4,2,2.5,1.2,60,57
320,葛飾区水元3-20,35.782383,139.865417,JGD2011,都道王子金町江戸川線(岩槻街道),b,2011-09-07,2011-09-14,4,2,5,1.2,63,58
321,葛飾区西水元6-16,35.788822,139.856949,JGD2011,都道王子金町江戸川線,b,2011-09-07,2011-09-14,4,2,1.5,1.2,67,62
322,葛飾区東金町8-2,35.779060,139.883957,JGD2011,都道松戸草加線,c,2011-07-20,2011-07-27,4,4,4.9,1.2,66,62
323,葛飾区柴又4-30,35.752903,139.877029,JGD2011,都道王子金町江戸川線(柴又街道),c,2011-09-07,2011-09-14,4,2,5,1.2,65,60
324,葛飾区亀有3-38,35.763786,139.850296,JGD2011,都道環状7号線(環七通り),c,2011-07-28,2011-08-04,4,4,4.3,1.2,70,67
325,葛飾区高砂1-2,35.741302,139.863144,JGD2011,都道環状7号線(環七通り),c,2011-07-28,2011-08-04,4,5,4.1,2.3,71,69
326,葛飾区金町5-24,35.765957,139.868622,JGD2011,国道6号(水戸街道),c,2011-07-20,2011-07-27,3,8,3.8,1.2,66,64
327,葛飾区四つ木5-15,35.742584,139.841217,JGD2011,国道6号(水戸街道),c,2011-08-05,2011-08-12,3,4,4.7,1.2,68,66
328,葛飾区堀切6-1,35.752026,139.827789,JGD2011,都道言問大谷田線,c,2011-09-07,2011-09-14,4,4,8.6,1.2,67,64
329,葛飾区小菅3-6,35.755337,139.824203,JGD2011,都道千住小松川葛西沖線,c,2011-07-20,2011-07-27,4,2,0.3,1.2,67,62
330,葛飾区小菅2-19,35.750191,139.825821,JGD2011,都道千住小松川葛西沖線(平和橋通り),c,2011-08-05,2011-08-12,4,5,4.1,1.2,68,63
331,葛飾区堀切3-32,35.743622,139.833282,JGD2011,都道千住小松川葛西沖線(平和橋通り),c,2011-08-05,2011-08-12,4,2,3.8,1.6,69,65
332,葛飾区東立石2-1,35.733753,139.843430,JGD2011,都道千住小松川葛西沖線(平和橋通り),c,2011-08-05,2011-08-12,4,3,4,1.2,66,62
333,葛飾区奥戸2-37,35.734699,139.861832,JGD2011,都道市川四つ木線(奥戸街道),c,2011-07-28,2011-08-04,4,2,3.2,1.8,64,61
334,葛飾区新小岩1-53,35.714451,139.861130,JGD2011,都道千住小松川葛西沖線(平和橋通り),c,2011-08-05,2011-08-12,4,3,3.7,1.2,66,64
335,葛飾区東新小岩3-12,35.722919,139.861862,JGD2011,都道御徒町小岩線(蔵前橋通り),c,2011-08-05,2011-08-12,4,4,4.6,1.4,67,64
336,葛飾区小菅1-35,35.756767,139.818176,JGD2011,都道千住小松川葛西沖線,b,2011-08-30,2011-09-06,4,4,4.6,1.8,68,65
337,葛飾区小菅1-2,35.752621,139.818939,JGD2011,首都高速中央環状線,c,2011-08-30,2011-09-06,2,4,23.2,13.6,64,63
338,葛飾区小菅1-36,35.758541,139.819077,JGD2011,首都高速三郷線,b,2011-08-30,2011-09-06,2,4,52,1.2,60,60
339,葛飾区堀切2-4,35.742863,139.825012,JGD2011,都道新荒川葛西堤防線,b,2011-08-30,2011-09-06,4,2,13,1.2,67,66
340,葛飾区堀切2-4,35.742863,139.825012,JGD2011,都道新荒川葛西堤防線,b,2011-08-30,2011-09-06,4,2,17.2,7.5,66,64
341,葛飾区堀切2-4,35.742863,139.825012,JGD2011,首都高速中央環状線,b,2011-08-30,2011-09-06,2,4,17.2,19.7,64,64
342,葛飾区東四つ木1-3,35.725761,139.841141,JGD2011,都道新荒川葛西堤防線,c,2011-09-07,2011-09-14,4,3,10,1.2,64,61
343,葛飾区東四つ木1-3,35.725761,139.841141,JGD2011,都道新荒川葛西堤防線,c,2011-09-07,2011-09-14,4,3,25.5,9.4,62,59
344,葛飾区東金町8-10,35.779598,139.885056,JGD2011,国道298号,c,2011-07-20,2011-07-27,3,6,4.7,1.2,62,56
345,葛飾区東金町8-16,35.779942,139.886841,JGD2011,国道298号,a,2011-07-20,2011-07-27,3,6,5.3,1.2,54,50
346,葛飾区東金町8-33,35.782219,139.884689,JGD2011,国道298号,a,2011-07-20,2011-07-27,3,6,5.8,1.2,62,57
347,葛飾区金町3-19,35.767693,139.872955,JGD2011,国道6号,c,2011-07-28,2011-08-04,3,8,4.6,1.8,70,68
348,葛飾区金町3-19,35.767693,139.872955,JGD2011,国道6号,c,2011-07-28,2011-08-04,3,8,4.6,11.8,69,68
349,葛飾区金町3-19,35.767693,139.872955,JGD2011,国道6号,c,2011-07-28,2011-08-04,3,8,4.6,17.3,73,71
