一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準累計,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
4,千代田区神田小川町3丁目7-16,35.694157,139.761414,JGD2011,区道千第101号,C,2011-12-20,2011-12-21,5,4,4.9,1.2,65,62
5,千代田区九段北1丁目8-10,35.697880,139.751633,JGD2011,区道千第303号,C,2011-12-20,2011-12-21,5,6,4.3,1.2,65,64
19,千代田区神田錦町3-18,35.693203,139.761337,JGD2011,区道101号,c,2012-02-14,2012-02-16,5,4,4,1.5,69,63
25,中央区日本橋人形町3丁目9,35.686958,139.782120,JGD2011,区道中日第1号線,C,2011-10-27,2011-10-28,5,5,3.8,1.2,64,60
26,中央区日本橋蛎殻町1丁目38,35.682999,139.784515,JGD2011,区道中日第1号線,C,2011-10-06,2011-10-07,5,6,4,1.2,66,62
27,中央区日本橋横山町3,35.692097,139.781998,JGD2011,区道中日第2号線,C,2011-10-06,2011-10-07,5,5,3.4,1.2,67,65
28,中央区八丁堀3丁目25,35.674740,139.778137,JGD2011,区道中京第402号線,C,2011-10-06,2011-10-07,5,4,5.5,1.2,71,70
29,中央区京橋3丁目7,35.675701,139.770294,JGD2011,区道中京第402号線,C,2011-10-06,2011-10-07,5,6,5.5,1.2,70,68
30,中央区豊海町2,35.653965,139.770737,JGD2011,区道中月第801号線,C,2011-10-06,2011-10-07,5,4,4.2,1.2,67,67
31,中央区勝どき5丁目4,35.656681,139.772659,JGD2011,区道中月第801号線,B,2011-10-06,2011-10-07,5,6,7.2,1.2,67,65
76,新宿区新宿1-7-3,35.688770,139.710327,JGD2011,区道41-900(新宿通り),c,2012-01-31,2012-02-03,5,4,0.4,1.2,69,68
91,台東区花川戸2丁目6,35.714420,139.798721,JGD2011,区道60号線,C,2011-12-05,2011-12-06,5,4,3.5,1.2,68,62
94,台東区花川戸2丁目6,35.714420,139.798721,JGD2011,区道60号,c,2011-12-06,2011-12-07,5,4,3.5,1.2,68,62
254,豊島区南大塚2丁目36,35.729092,139.729858,JGD2011,区道31-1180号,C,2011-11-16,2011-11-17,5,4,4,1.2,64,61
392,八王子市元本郷町1-3-10,35.662373,139.321396,JGD2011,市道17号線（国道20号バイパス）,c,2011-11-17,2011-11-18,5,4,2.9,1.2,72,69
432,青梅市新町8-20,35.784454,139.309372,JGD2011,市道12号線,b,2011-10-11,2011-10-14,5,4,4.5,1.2,67,64
