一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準累計,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
249,豊島区巣鴨2丁目11,35.735500,139.736633,JGD2011,国道17号,C,2011-11-14,2011-11-15,3,4,11.4,1.2,70,69
250,豊島区東池袋5丁目39,35.728218,139.725494,JGD2011,国道254号,C,2011-11-16,2011-11-17,3,4,3.6,1.2,69,67
251,豊島区池袋本町1丁目7,35.738117,139.712723,JGD2011,国道254号,C,2011-11-14,2011-11-15,3,6,5.3,1.2,72,70
256,豊島区池袋1-13,35.737099,139.713638,JGD2011,国道254号(川越街道),c,2011-11-28,2011-12-01,3,4,5.5,1.2,72,71
257,北区神谷3丁目16,35.773369,139.732498,JGD2011,国道122号,C,2012-02-20,2012-02-21,3,6,3.7,1.2,69,67
259,北区岩渕町26-6,35.785576,139.721802,JGD2011,国道122号（北本通り）,c,2011-11-28,2011-12-01,3,5,5.8,2.1,69,67
260,北区志茂3-46-8,35.775665,139.734360,JGD2011,国道122号（北本通り）,c,2011-11-28,2011-12-01,3,7,3.4,1.2,71,67
261,北区王子5-29,35.766922,139.735992,JGD2011,国道122号（北本通り）,c,2011-11-28,2011-12-01,3,6,3.4,1.2,69,66
263,北区滝野川1-90-8,35.746017,139.730728,JGD2011,国道122号（明治通り）,c,2011-11-28,2011-12-01,3,4,4.5,1.2,72,72
268,荒川区南千住1-59,35.734081,139.793381,JGD2011,国道4号（日光街道）,c,2011-05-09,2011-05-13,3,4,4.1,1.4,74,73
280,板橋区板橋2-67-7,35.751736,139.709290,JGD2011,国道17号(中山道),c,2011-07-11,2011-07-14,3,7,4,1.2,68,64
284,板橋区南常盤台2-8-9,35.756570,139.686306,JGD2011,国道254号(川越街道),c,2011-09-05,2011-09-08,3,4,4,1.2,70,69
286,板橋区大山町13-1,35.747094,139.700047,JGD2011,国道254号(川越街道),c,2011-09-12,2011-09-13,3,4,4,1.2,71,68
287,板橋区本町41-3,35.757792,139.707237,JGD2011,国道17号(中山道),c,2011-09-01,2011-09-02,3,6,4,1.2,76,74
289,板橋区大原町6-5,35.770150,139.700783,JGD2011,国道17号(中山道),c,2011-09-29,2011-09-30,3,4,4,1.2,72,70
290,板橋区東坂下2-20-9,35.787846,139.685287,JGD2011,国道17号(中山道),c,2011-10-13,2011-10-14,3,4,4,1.2,71,70
294,板橋区高島平6-1-1,35.792306,139.646469,JGD2011,国道17号(新大宮バイパス),c,2011-10-27,2011-10-28,3,9,4,1.2,72,69
295,板橋区赤塚7-25,35.779480,139.649689,JGD2011,国道17号(新大宮バイパス),a,2011-11-21,2011-11-22,3,2,4,1.2,67,65
296,板橋区赤塚新町3-3-9,35.770729,139.641541,JGD2011,国道254号(川越街道),c,2012-01-30,2012-01-31,3,4,4,1.2,71,70
297,足立区中央本町1丁目17,35.775124,139.805023,JGD2011,国道4号（日光街道）,C,2011-10-25,2011-10-26,3,6,4.5,1.2,71,70
307,足立区千住河原町10,35.743710,139.797867,JGD2011,国道4号（日光街道）,c,2011-11-28,2011-11-29,3,7,4,1.5,69,67
308,足立区中央本町1-5-3,35.771118,139.803574,JGD2011,国道4号（日光街道）,c,2011-11-24,2011-11-25,3,4,4,1.5,66,65
