"年度[西暦]","款","当初予算 金額[千円]","当初予算 構成比[%]","最終補正後 金額[千円]","最終補正後 構成比[%]"
"2020","議会費","716603","0.5","709629","0.4"
"2020","総務費","28229555","19.4","55360770","30.3"
"2020","環境清掃費","6305768","4.3","6216807","3.4"
"2020","民生費","56735625","39.0","58861980","32.2"
"2020","衛生費","5658990","3.9","6225919","3.4"
"2020","産業経済費","3114924","2.1","7998341","4.4"
"2020","土木費","18723855","12.9","17357110","9.5"
"2020","教育費","17613085","12.1","20402964","11.2"
"2020","公債費","189786","0.1","189786","0.1"
"2020","諸支出金","7651809","5.3","8901627","4.9"
"2020","予備費","500000","0.3","700000","0.4"
"2020","歳出合計","145440000","100.0","182924933","100.0"
"2021","議会費","748048","0.5",,
"2021","総務費","21633386","13.3",,
"2021","環境清掃費","6814858","4.2",,
"2021","民生費","57107828","35.2",,
"2021","衛生費","7299706","4.5",,
"2021","産業経済費","14016807","8.6",,
"2021","土木費","19913716","12.3",,
"2021","教育費","26199690","16.1",,
"2021","公債費","158449","0.1",,
"2021","諸支出金","7517512","4.6",,
"2021","予備費","1000000","0.6",,
"2021","歳出合計","162410000","100.0",,

"令和3年度港区行政資料集　 一般会計歳出予算（款別）","Ver202103",,,,
