"年月[西暦]","施設名称","施設郵便番号","施設所在地","施設方書","確認日","確認番号","施設種別"
"202404","プラウド元麻布","106-0046","東京都港区元麻布二丁目14番9号","1階","2024/4/22","6港み生環き第11号","取次所"
"202405","コトー南麻布","106-0047","東京都港区南麻布五丁目10番30号",,"2024/5/2","6港み生環き第9号","取次所"
"202405","マルエツ　プチ　東麻布店","106-0044","東京都港区東麻布一丁目9番15号",,"2024/5/20","4港み生環き第49号","取次所"
"202405","マルエツ　プチ　白金台店","108-0071","東京都港区白金台四丁目7番8号",,"2024/5/20","4港み生環き第50号","取次所"
"202406","ポニークリーニング新橋６丁目店","105-0004","東京都港区新橋六丁目7番2号","YASHIMA Bldg. 1階","2024/6/27","6港み生環き第46号","取次所"
"202407","ベルファース芝浦タワー　コンシェルジュカウンター","108-0023","東京都港区芝浦四丁目16番14号","ベルファース芝浦タワー1階、地下2階","2024/7/11","6港み生環き第50号","取次所"
"202407","東京アメリカンクラブ","106-0041","東京都港区麻布台二丁目1番2号","1階","2024/7/25","29港み生環き第3号","取次所"
"202407","パークウェルステイト西麻布","106-0031","東京都港区西麻布四丁目17番24号","パークウェルステイト西麻布1階","2024/7/29","6港み生環き第73号","取次所"

"クリーニング所新規一覧(令和6年7月31日現在)","Ver202407",,,,,,
