"科目","金額[百万円]"
"年度","2019"
"期間（自）","20190401"
"期間（至）","20200331"
"業務活動収支 業務支出","185801"
"業務活動収支 業務支出 業務費用支出","80438"
"業務活動収支 業務支出 業務費用支出 人件費支出","22082"
"業務活動収支 業務支出 業務費用支出 物件費等支出","50428"
"業務活動収支 業務支出 業務費用支出 支払利息支出","24"
"業務活動収支 業務支出 業務費用支出 その他の支出","7904"
"業務活動収支 業務支出 移転費用支出","105364"
"業務活動収支 業務支出 移転費用支出 補助金等支出","81567"
"業務活動収支 業務支出 移転費用支出 社会保障給付支出","23276"
"業務活動収支 業務支出 移転費用支出 他会計への繰出支出","0"
"業務活動収支 業務支出 移転費用支出 その他の支出","521"
"業務活動収支 業務収入","217179"
"業務活動収支 業務収入 税収等収入","142145"
"業務活動収支 業務収入 国都等補助金収入","49769"
"業務活動収支 業務収入 使用料及び手数料収入","9443"
"業務活動収支 業務収入 その他の収入","15822"
"業務活動収支 臨時支出","-"
"業務活動収支 臨時支出 災害復旧事業費支出","-"
"業務活動収支 臨時支出 その他の支出","-"
"業務活動収支 臨時収入","0"
"業務活動収支","31378"
"投資活動収支 投資活動支出","42135"
"投資活動収支 投資活動支出 公共施設等整備費支出","15150"
"投資活動収支 投資活動支出 基金積立金支出","25577"
"投資活動収支 投資活動支出 投資及び出資金支出","922"
"投資活動収支 投資活動支出 貸付金支出","486"
"投資活動収支 投資活動支出 その他の支出","-"
"投資活動収支 投資活動収入","11389"
"投資活動収支 投資活動収入 国都等補助金収入","3948"
"投資活動収支 投資活動収入 基金取崩収入","6109"
"投資活動収支 投資活動収入 貸付金元金回収収入","505"
"投資活動収支 投資活動収入 資産売却収入","0"
"投資活動収支 投資活動収入 その他の収入","827"
"投資活動収支","-30746"
"財務活動収支 財務活動支出","1007"
"財務活動収支 財務活動支出 地方債等償還支出","362"
"財務活動収支 財務活動支出 その他の支出","645"
"財務活動収支 財務活動収入","265"
"財務活動収支 財務活動収入 地方債等発行収入","263"
"財務活動収支 財務活動収入 その他の収入","2"
"財務活動収支","-742"
"本年度資金収支額","-111"
"前年度末資金残高","13057"
"比例連結割合変更に伴う差額","5"
"本年度末資金残高","12951"
"前年度末歳計外現金残高","7195"
"本年度歳計外現金増減額","162"
"本年度末歳計外現金残高","7357"
"本年度末現金預金残高","20308"

"連結会計財務書類（資金収支計算書）(平成31年4月1日から令和2年3月31日)","Ver202003"
