"年度","西麻布児童館 利用者数[人]","西麻布児童館 内学童保育[人]","飯倉学童クラブ 利用者数[人]","飯倉学童クラブ 内学童保育[人]","青山児童館 利用者数[人]","青山児童館 内学童保育[人]","豊岡児童館 利用者数[人]","豊岡児童館 内学童保育[人]","高輪児童館 利用者数[人]","高輪児童館 内学童保育[人]","白金台児童館 利用者数[人]","白金台児童館 内学童保育[人]","台場児童館 利用者数[人]","台場児童館 内学童保育[人]","神明子ども中高生プラザ 利用者数[人]","神明子ども中高生プラザ 内学童保育[人]","麻布子ども中高生プラザ 利用者数[人]","麻布子ども中高生プラザ 内学童保育[人]","赤坂子ども中高生プラザ 利用者数[人]","赤坂子ども中高生プラザ 内学童保育[人]","高輪子ども中高生プラザ 利用者数[人]","高輪子ども中高生プラザ 内学童保育[人]","港南子ども中高生プラザ 利用者数[人]","港南子ども中高生プラザ 内学童保育[人]","子どもふれあいルーム(西麻布) 利用者数[人]","子どもふれあいルーム(西麻布) 内学童保育[人]","東麻布学童クラブ 利用者数[人]","東麻布学童クラブ 内学童保育[人]","南麻布学童クラブ 利用者数[人]","南麻布学童クラブ 内学童保育[人]","桂坂学童クラブ 利用者数[人]","桂坂学童クラブ 内学童保育[人]","三光学童クラブ 利用者数[人]","三光学童クラブ 内学童保育[人]","芝浦学童クラブ 利用者数[人]","芝浦学童クラブ 内学童保育[人]","五色橋学童クラブ 利用者数[人]","五色橋学童クラブ 内学童保育[人]"
"定員",,,"66",,"60",,"76",,"55",,"66",,"105",,"73",,"80",,"120",,"77",,"400",,,,"64",,"120",,"200",,"160",,"240",,"80",
"2013","21190","4008","19001","5460","27290","8116","26154","11295","23157","11541","54898","9108","36327","9675","45602","7046",,,"70161","8861","145100","12767","122115","37467",,,"2164","2164",,,,,,,,,,
"2014","14063","1906","21804","7033","27590","9202","25434","10676","23388","12056","59168","9361","37316","11933","42500","7331","57305","2803","72653","8930","161982","14961","129754","39114","6379","842","5077","5077",,,,,,,"4496","4496",,
"2015",,,"20400","8475","27709","8127","24232","10935","22195","10153","57784","9855","37821","13186","43545","8502","109262","7849","77001","11697","157492","11931","128194","50627","18403","1171","6328","6328","7246","7246","11367","11367","9013","9013","15284","15284",,
"2016",,,"22427","10204","27223","7947","23159","12118","24594","10350","59096","6853","38933","11043","44281","9384","126089","9163","84128","14356","152832","11399","125406","58093","22784",,"8227","8227","11691","11691","17818","17818","11918","11918","22395","22395",,
"2017",,,"25005","11264","25057","7509","24393","12475","21879","9432","63980","8739","39254","13814","46733","10076","130871","11738","80241","14145","152310","12337","127972","64704","25849",,"8145","8145","15732","15732","24913","24913","15553","15553","29724","29724","809","809"

"平成30年度港区行政資料集　施設利用状況一覧 児童館・児童施設","Ver201803",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
