"科目","金額[百万円]"
"年度","2019"
"期間（自）","20190401"
"期間（至）","20200331"
"業務活動収支 業務支出","152257"
"業務活動収支 業務支出 業務費用支出","70457"
"業務活動収支 業務支出 業務費用支出 人件費支出","20946"
"業務活動収支 業務支出 業務費用支出 物件費等支出","48537"
"業務活動収支 業務支出 業務費用支出 支払利息支出","14"
"業務活動収支 業務支出 業務費用支出 その他の支出","960"
"業務活動収支 業務支出 移転費用支出","81800"
"業務活動収支 業務支出 移転費用支出 補助金等支出","58020"
"業務活動収支 業務支出 移転費用支出 社会保障給付支出","23274"
"業務活動収支 業務支出 移転費用支出 他会計への繰出支出","0"
"業務活動収支 業務支出 移転費用支出 その他の支出","506"
"業務活動収支 業務収入","182984"
"業務活動収支 業務収入 税収等収入","126668"
"業務活動収支 業務収入 国都等補助金収入","39034"
"業務活動収支 業務収入 使用料及び手数料収入","8879"
"業務活動収支 業務収入 その他の収入","8402"
"業務活動収支 臨時支出","-"
"業務活動収支 臨時支出 災害復旧事業費支出","-"
"業務活動収支 臨時支出 その他の支出","-"
"業務活動収支 臨時収入","0"
"業務活動収支","30727"
"投資活動収支 投資活動支出","40197"
"投資活動収支 投資活動支出 公共施設等整備費支出","14562"
"投資活動収支 投資活動支出 基金積立金支出","25149"
"投資活動収支 投資活動支出 投資及び出資金支出","-"
"投資活動収支 投資活動支出 貸付金支出","486"
"投資活動収支 投資活動支出 その他の支出","-"
"投資活動収支 投資活動収入","9852"
"投資活動収支 投資活動収入 国都等補助金収入","3772"
"投資活動収支 投資活動収入 基金取崩収入","5576"
"投資活動収支 投資活動収入 貸付金元金回収収入","505"
"投資活動収支 投資活動収入 資産売却収入","-"
"投資活動収支 投資活動収入 その他の収入","-"
"投資活動収支","-30345"
"財務活動収支 財務活動支出","721"
"財務活動収支 財務活動支出 地方債償還支出","225"
"財務活動収支 財務活動支出 その他の支出","496"
"財務活動収支 財務活動収入","-"
"財務活動収支 財務活動収入 地方債発行収入","-"
"財務活動収支 財務活動収入 その他の収入","-"
"財務活動収支","-721"
"本年度資金収支額","-339"
"前年度末資金残高","11107"
"本年度末資金残高","10768"
"前年度末歳計外現金残高","7188"
"本年度歳計外現金増減額","162"
"本年度末歳計外現金残高","7349"
"本年度末現金預金残高","18117"

"全体会計財務書類（資金収支計算書）(平成31年4月1日から令和2年3月31日)","Ver202003"
