町丁目,世帯数,男人数,女人数,合計人数
方南1丁目,5063,4159,3948,8107
方南2丁目,3183,2526,2760,5286
和泉1丁目,3968,2923,2891,5814
和泉2丁目,4299,3729,3661,7390
和泉3丁目,3763,3088,3409,6497
和泉4丁目,4828,4111,4441,8552
下高井戸1丁目,3351,2178,2418,4596
下高井戸2丁目,1931,1451,1528,2979
下高井戸3丁目,2116,1879,1983,3862
下高井戸4丁目,3048,2655,2832,5487
下高井戸5丁目,1639,1449,1579,3028
永福1丁目,1932,1597,1661,3258
永福2丁目,2484,2274,2566,4840
永福3丁目,2323,1873,2102,3975
永福4丁目,2174,1765,1932,3697
浜田山1丁目,2021,1802,2085,3887
浜田山2丁目,1351,1177,1346,2523
浜田山3丁目,2448,1974,2481,4455
浜田山4丁目,2961,2728,3248,5976
和田1丁目,5436,4309,4665,8974
和田2丁目,2531,2086,2218,4304
和田3丁目,4057,3176,3342,6518
堀ノ内1丁目,2539,2086,2245,4331
堀ノ内2丁目,4074,3683,3786,7469
堀ノ内3丁目,4442,3476,3639,7115
松ノ木1丁目,951,968,876,1844
松ノ木2丁目,1480,1309,1432,2741
松ノ木3丁目,1877,1495,1537,3032
大宮1丁目,1155,967,1008,1975
大宮2丁目,848,698,832,1530
梅里1丁目,2192,1545,1632,3177
梅里2丁目,3318,2436,2669,5105
高円寺南1丁目,4446,3232,3178,6410
高円寺南2丁目,5122,3444,3684,7128
高円寺南3丁目,5152,3877,3649,7526
高円寺南4丁目,2976,2077,2061,4138
高円寺南5丁目,4202,3427,3145,6572
高円寺北1丁目,1581,1305,1192,2497
高円寺北2丁目,3149,2251,2051,4302
高円寺北3丁目,4069,3061,2740,5801
高円寺北4丁目,2364,1830,1762,3592
阿佐谷南1丁目,4884,3806,3997,7803
阿佐谷南2丁目,2438,1784,1783,3567
阿佐谷南3丁目,5122,3700,4109,7809
阿佐谷北1丁目,2998,2193,2423,4616
阿佐谷北2丁目,2881,2150,2227,4377
阿佐谷北3丁目,2431,1946,2049,3995
阿佐谷北4丁目,2508,2008,2129,4137
阿佐谷北5丁目,2203,1889,1972,3861
阿佐谷北6丁目,1804,1655,1707,3362
天沼1丁目,2483,2130,1916,4046
天沼2丁目,3129,2576,2689,5265
天沼3丁目,4000,2974,3188,6162
本天沼1丁目,1834,1625,1560,3185
本天沼2丁目,2445,2317,2278,4595
本天沼3丁目,1851,1830,1917,3747
成田西1丁目,1323,1364,1467,2831
成田西2丁目,1421,1513,1578,3091
成田西3丁目,974,1074,1130,2204
成田西4丁目,442,459,462,921
成田東1丁目,2456,2238,2366,4604
成田東2丁目,1701,1831,1946,3777
成田東3丁目,1855,1623,1676,3299
成田東4丁目,3038,2693,3018,5711
成田東5丁目,3515,2721,3121,5842
荻窪1丁目,2626,2644,2758,5402
荻窪2丁目,2191,1919,2102,4021
荻窪3丁目,3693,3402,3626,7028
荻窪4丁目,2714,1989,2361,4350
荻窪5丁目,3115,2234,2627,4861
南荻窪1丁目,1912,1846,1988,3834
南荻窪2丁目,1916,1957,2042,3999
南荻窪3丁目,1633,1473,1565,3038
南荻窪4丁目,1979,1620,1831,3451
上荻1丁目,1159,785,913,1698
上荻2丁目,3183,2505,2531,5036
上荻3丁目,1762,1659,1783,3442
