町丁目,世帯数,男人数,女人数,合計人数
方南1丁目,5065,4160,3944,8104
方南2丁目,3184,2524,2757,5281
和泉1丁目,3972,2933,2886,5819
和泉2丁目,4311,3739,3665,7404
和泉3丁目,3768,3089,3420,6509
和泉4丁目,4844,4135,4450,8585
下高井戸1丁目,3349,2170,2418,4588
下高井戸2丁目,1929,1448,1531,2979
下高井戸3丁目,2110,1881,1982,3863
下高井戸4丁目,2940,2617,2773,5390
下高井戸5丁目,1636,1447,1579,3026
永福1丁目,1949,1605,1678,3283
永福2丁目,2470,2265,2557,4822
永福3丁目,2321,1872,2102,3974
永福4丁目,2173,1754,1928,3682
浜田山1丁目,2031,1808,2088,3896
浜田山2丁目,1357,1186,1354,2540
浜田山3丁目,2441,1972,2477,4449
浜田山4丁目,2963,2729,3250,5979
和田1丁目,5420,4297,4657,8954
和田2丁目,2527,2098,2208,4306
和田3丁目,4066,3183,3341,6524
堀ノ内1丁目,2532,2080,2245,4325
堀ノ内2丁目,4074,3680,3789,7469
堀ノ内3丁目,4435,3476,3635,7111
松ノ木1丁目,878,898,803,1701
松ノ木2丁目,1482,1313,1431,2744
松ノ木3丁目,1871,1496,1533,3029
大宮1丁目,1154,968,1004,1972
大宮2丁目,847,698,831,1529
梅里1丁目,2193,1541,1633,3174
梅里2丁目,3319,2439,2666,5105
高円寺南1丁目,4441,3233,3179,6412
高円寺南2丁目,5140,3455,3685,7140
高円寺南3丁目,5168,3876,3673,7549
高円寺南4丁目,2973,2075,2063,4138
高円寺南5丁目,4198,3414,3153,6567
高円寺北1丁目,1577,1303,1197,2500
高円寺北2丁目,3127,2239,2038,4277
高円寺北3丁目,4081,3069,2754,5823
高円寺北4丁目,2378,1830,1769,3599
阿佐谷南1丁目,4875,3802,3992,7794
阿佐谷南2丁目,2450,1794,1783,3577
阿佐谷南3丁目,5133,3699,4122,7821
阿佐谷北1丁目,2998,2195,2417,4612
阿佐谷北2丁目,2889,2156,2231,4387
阿佐谷北3丁目,2437,1955,2055,4010
阿佐谷北4丁目,2505,2005,2137,4142
阿佐谷北5丁目,2207,1894,1978,3872
阿佐谷北6丁目,1809,1660,1714,3374
天沼1丁目,2471,2121,1907,4028
天沼2丁目,3143,2583,2701,5284
天沼3丁目,3988,2963,3184,6147
本天沼1丁目,1836,1626,1566,3192
本天沼2丁目,2438,2307,2271,4578
本天沼3丁目,1850,1834,1923,3757
成田西1丁目,1320,1362,1464,2826
成田西2丁目,1424,1514,1581,3095
成田西3丁目,979,1078,1137,2215
成田西4丁目,444,462,466,928
成田東1丁目,2458,2237,2368,4605
成田東2丁目,1697,1836,1941,3777
成田東3丁目,1853,1622,1680,3302
成田東4丁目,3041,2697,3018,5715
成田東5丁目,3512,2723,3126,5849
荻窪1丁目,2630,2650,2762,5412
荻窪2丁目,2181,1915,2088,4003
荻窪3丁目,3707,3410,3634,7044
荻窪4丁目,2716,1986,2360,4346
荻窪5丁目,3121,2235,2629,4864
南荻窪1丁目,1921,1858,1995,3853
南荻窪2丁目,1910,1950,2034,3984
南荻窪3丁目,1643,1478,1567,3045
南荻窪4丁目,1981,1620,1830,3450
上荻1丁目,1158,783,913,1696
上荻2丁目,3170,2502,2519,5021
上荻3丁目,1759,1656,1787,3443
上荻4丁目,2000,1632,1833,3465
