町丁目,世帯数,男人数,女人数,合計人数
方南1丁目,5061,4162,3955,8117
方南2丁目,3178,2522,2755,5277
和泉1丁目,3966,2926,2878,5804
和泉2丁目,4275,3731,3644,7375
和泉3丁目,3769,3082,3410,6492
和泉4丁目,4827,4125,4431,8556
下高井戸1丁目,3368,2192,2425,4617
下高井戸2丁目,1922,1444,1526,2970
下高井戸3丁目,2113,1877,1976,3853
下高井戸4丁目,3045,2662,2836,5498
下高井戸5丁目,1649,1451,1589,3040
永福1丁目,1890,1573,1635,3208
永福2丁目,2483,2274,2561,4835
永福3丁目,2336,1872,2107,3979
永福4丁目,2163,1758,1929,3687
浜田山1丁目,2021,1792,2091,3883
浜田山2丁目,1357,1179,1348,2527
浜田山3丁目,2452,1974,2481,4455
浜田山4丁目,2966,2729,3251,5980
和田1丁目,5456,4327,4667,8994
和田2丁目,2532,2086,2212,4298
和田3丁目,4083,3191,3355,6546
堀ノ内1丁目,2544,2085,2245,4330
堀ノ内2丁目,4062,3674,3774,7448
堀ノ内3丁目,4437,3476,3636,7112
松ノ木1丁目,990,998,909,1907
松ノ木2丁目,1478,1313,1431,2744
松ノ木3丁目,1880,1495,1535,3030
大宮1丁目,1145,962,998,1960
大宮2丁目,851,705,838,1543
梅里1丁目,2194,1543,1633,3176
梅里2丁目,3299,2430,2662,5092
高円寺南1丁目,4435,3218,3185,6403
高円寺南2丁目,5120,3446,3680,7126
高円寺南3丁目,5134,3866,3643,7509
高円寺南4丁目,2963,2079,2054,4133
高円寺南5丁目,4228,3455,3151,6606
高円寺北1丁目,1573,1305,1190,2495
高円寺北2丁目,3160,2255,2071,4326
高円寺北3丁目,4075,3064,2736,5800
高円寺北4丁目,2361,1831,1762,3593
阿佐谷南1丁目,4891,3808,3999,7807
阿佐谷南2丁目,2440,1784,1779,3563
阿佐谷南3丁目,5127,3700,4115,7815
阿佐谷北1丁目,3010,2204,2434,4638
阿佐谷北2丁目,2884,2150,2231,4381
阿佐谷北3丁目,2438,1940,2055,3995
阿佐谷北4丁目,2504,2005,2121,4126
阿佐谷北5丁目,2191,1876,1965,3841
