区分,名称,所在地,設置台数[台]
指定避難所,両国小学校,墨田区両国4-26-6,5
指定避難所,緑小学校,墨田区緑2-12-12,5
指定避難所,中和小学校,墨田区菊川1-18-10,5
指定避難所,菊川小学校,墨田区立川4-12-15,5
指定避難所,錦糸小学校,墨田区錦糸1-9-12,5
指定避難所,柳島小学校,墨田区横川5-2-30,5
指定避難所,業平小学校,墨田区業平2-4-8,5
指定避難所,言問小学校,墨田区向島5-40-14,5
指定避難所,墨田中学校,墨田区向島4-25-22,5
指定避難所,小梅小学校,墨田区向島2-4-10,5
指定避難所,本所中学校,墨田区東駒形3-1-10,5
指定避難所,横川小学校,墨田区東駒形4-18-4,5
指定避難所,外手小学校,墨田区本所2-1-16,5
指定避難所,二葉小学校,墨田区石原2-1-5,5
指定避難所,錦糸中学校,墨田区石原4-33-14,5
指定避難所,竪川中学校,墨田区亀沢4-11-15,5
指定避難所,立花吾嬬の森小学校,墨田区立花1-18-6,5
指定避難所,立花幼稚園他,墨田区立花1-25-27,5
指定避難所,東吾嬬小学校,墨田区立花4-22-11,5
指定避難所,中川小学校,墨田区立花5-49-4,5
指定避難所,桜堤中学校,墨田区堤通2-19-1,5
指定避難所,八広地域プラザ,墨田区八広4-35-17,5
指定避難所,八広小学校,墨田区八広5-12-15,5
指定避難所,吾嬬第二中学校,墨田区八広4-4-4,5
指定避難所,寺島中学校,墨田区八広1-17-15,5
指定避難所,第三吾嬬小学校,墨田区八広2-36-3,5
指定避難所,第四吾嬬小学校,墨田区京島3-64-9,5
指定避難所,曳舟小学校,墨田区京島1-28-2,5
指定避難所,文花中学校,墨田区文花1-22-7,5
指定避難所,押上小学校,墨田区押上3-46-17,5
指定避難所,第一寺島小学校,墨田区東向島1-16-2,5
指定避難所,第三寺島小学校,墨田区東向島6-8-1,5
指定避難所,旧向島中学校,墨田区東向島4-18-9,5
指定避難所,第二寺島小学校,墨田区東向島4-30-2,5
指定避難所,梅若小学校,墨田区墨田2-25-1,5
指定避難所,旧隅田小学校,墨田区墨田5-49-5,5
指定避難所,両国中学校,墨田区横網1-8-1,5
指定避難所,隅田小学校,墨田区墨田4-6-5,5
指定避難所,木下川吾亦紅,墨田区東墨田2-5-2,5
