準公,,,,,,,
,第1四半期,第2四半期,第3四半期,第4四半期,"29年度
(A)","28年度
(B)","対前年度比
(A-B)"
平均残高,"4,712億円","4,914億円","4,980億円","4,892億円","4,875億円","5,015億円",△140億円
利回り,0.009%,0.009%,0.006%,0.006%,0.008%,0.016%,△ 0.008
運用収入,"1,083万円","1,167万円",769万円,674万円,"3,693万円","8,146万円","△4,453万円"
