区分,集合研修（２日）（人）,集合研修（２日）（万円）,ｅラーニング（半日）（人）,ｅラーニング（半日）（万円）
教材費,,17,,85
システム開発・運用,,-,,662
通常のコスト比較（小計）,,17,,747
講師給与,13,83,0,-
研修期間中の研修生給与,945,3591,945,898
旅費,945,189,0,-
フルコスト比較（総計）,,3880,,1645
研修生一人当たりコスト,,4.1,,1.7
