会計,歳入予算現額（円）,歳入収入済額（円）,歳入予算現額に対する収入済額の増減（円）,歳入予算現額に対する収入済額の割合（％）,歳出予算現額（円）,歳出支出済額（円）,歳出翌年度繰越額（円）,歳出不用額（円）,歳出予算現額に対する支出済額の割合（％）,歳入歳出差引残額（円）
一般会計,7048794285000,6779695476149,-269098808851,96.2,7048794285000,6598877271623,36633940000,413283073377,93.6,180818204526
特別区財政調整会計,987805000000,987804199000,-801000,100.0,987805000000,987804199000,0,801000,100.0,0
地方消費税清算会計,2044675000000,1995283562924,-49391437076,97.6,1871806000000,1804027136598,0,67778863402,96.4,191256426326
小笠原諸島生活再建資金会計,374000000,749873217,375873217,200.5,374000000,0,0,374000000,0,749873217
母子福祉貸付資金会計,4520000000,5032974969,512974969,111.3,4520000000,3149085501,0,1370914499,69.7,1883889468
心身障害者扶養年金会計,5388000000,5194487538,-193512462,96.4,5388000000,5194482538,0,193517462,96.4,5000
中小企業設備導入等資金会計,6748000000,6373942334,-374057666,94.5,6748000000,4653292489,0,2094707511,69.0,1720649845
林業・木材産業改善資金助成会計,52000000,98480982,46480982,189.4,52000000,62016,0,51937984,0.1,98418966
沿岸漁業改善資金助成会計,48000000,133968023,85968023,279.1,48000000,18307800,0,29692200,38.1,115660223
と場会計,6648000000,5753580334,-894419666,86.5,6648000000,5753580334,0,894419666,86.5,0
都営住宅等事業会計,188883000000,163783064861,-25099935139,86.7,188883000000,162013751777,13143000000,13726248223,85.8,1769313084
都営住宅等保証金会計,8140000000,8554582902,414582902,105.1,3095000000,3081879502,0,13120498,99.6,5472703400
都市開発資金会計,8615000000,7599529538,-1015470462,88.2,8615000000,7599529538,0,1015470462,88.2,0
用地会計,17035742000,15751535196,-1284206804,92.5,17035742000,8216257851,18458000,8801026149,48.2,7535277345
公債費会計,1330238000000,1306497789008,-23740210992,98.2,1330238000000,1306497789008,0,23740210992,98.2,0
臨海都市基盤整備事業会計,11528506000,9796405566,-1732100434,85.0,9454847000,5230548634,631253000,3593045366,55.3,4565856932
（特別会計合計）,4620698248000,4518407976392,-102290271608,97.8,4440710589000,4303239902586,13792711000,123677975414,96.9,215168073806
合計,11669492533000,11298103452541,-371389080459,96.8,11489504874000,10902117174209,50426651000,536961048791,94.9,395986278332
