プログラム活動,２００７実績額（千ドル）,２００８歳出見積額（千ドル）,２００８支出計画額（千ドル）,２００８裁定額（千ドル）,２００８実績額（千ドル）,関連する業績指標
１．管理政策の開発・監視,135196,136343,136137,160777,153568,国政
２．歳出管理及び財政管理,59401,49442,53622,56489,51491,国政
３．政府基金及び公的サービス機関事業主への支出,1662001,4318161,1861020,2643588,1754566,国政
合計,1856598,4503946,2050779,2860854,1959625,国政
