基金,,,,,,,,,,
,,合計金額,都市銀行,,信託銀行,,地方銀行等,,外国銀行,
２８年度,,26787,12566,46.9%,6351,23.7%,4024,15.0%,3845,14.4%
２９年度,,29499,14079,47.7%,8188,27.8%,3341,11.3%,3891,13.2%
２９年度第１四半期,,27952,14084,50.4%,6891,24.7%,3180,11.4%,3796,13.6%
第２四半期,,30623,15181,49.6%,8455,27.6%,3142,10.3%,3845,12.6%
第３四半期,,30013,13991,46.6%,8788,29.3%,3363,11.2%,3871,12.9%
第４四半期,,29390,13039,44.4%,8611,29.3%,3684,12.5%,4056,13.8%
