歳計現金等,,,,,
,,,,,
,"30年度
第3四半期(A)","30年度
第2四半期(B)","対前期比
(A-B)","（参考）29年度
第3四半期(C)","対前年同期比
(A-C)"
平均残高,1兆4369億円,1兆5521億円,△1152億円,1兆1089億円,3280億円
利回り,0.009%,0.008%,0.001%,0.009%,0
運用収入,3100万円,3324万円,△224万円,2452万円,648万円
