款名,予算現額（円）,収入済額（円）,予算現額に対する収入済額の増減（円）,予算現額に対する収入済額の割合（％）
１　都税,5221473159000,5236011456944,14538297944,100.3
２　地方譲与税,234754091000,235549362947,795271947,100.3
３　助成交付金,30885000,30451000,-434000,98.6
４　地方特例交付金,4700412000,4875162000,174750000,103.7
５　特別交付金,3253375000,2937072000,-316303000,90.3
６　分担金及負担金,14660587000,10611320832,-4049266168,72.4
７　使用料及手数料,88582979000,84531333628,-4051645372,95.4
８　国庫支出金,348580190000,319684651601,-28895538399,91.7
９　財産収入,41172753000,27973049466,-13199703534,67.9
１０　寄附金,78491000,81110757,2619757,103.3
１１　繰入金,219077590000,69583724855,-149493865145,31.8
１２　諸収入,455194260000,536782286145,81588026145,117.9
１３　都債,290607690000,124416670500,-166191019500,42.8
１４　繰越金,126627714000,126627714474,474,100.0
１５　区市町村たばこ税都交付金,109000,109000,0,100
計,7048794285000,6779695476149,-269098808851,96.2
