,,,,,
準公営企業会計資金,,,,,
,,,,,
,"30年度
第1四半期(A)","29年度
第4四半期(B)","対前期比
(A-B)","（参考）29年度
第1四半期(C)","対前年同期比
(A-C)"
平均残高,"4,963億円","4,892億円",71億円,"4,712億円",251億円
利回り,0.007%,0.006%,0.001,0.009%,△ 0.002
運用収入,813万円,674万円,139万円,"1,083万円",△270万円
