,,,,,
基金,,,,,
,,,,,
,"30年度
第1四半期(A)","29年度
第4四半期(B)","対前期比
(A-B)","（参考）29年度
第1四半期(C)","対前年同期比
(A-C)"
平均残高,"3兆9,795億円","3兆7,960億円","1,835億円","3兆5,749億円","4,046億円"
利回り,0.056%,0.057%,△ 0.001,0.065%,△ 0.009
運用収入,"5億5,468万円","5億2,962万円","2,506万円","5億7,998万円","△2,530万円"
