年度,建物（億円）,道路等（億円）,その他（億円）,合計（億円）,区分（億円）
～2009,46,21,2,69,
2010～2014,110,62,3,175,35
2015～2019,34,77,0,111,22
2020～2024,161,89,0,250,50
2025～2029,160,74,0,234,47
2030～2034,52,206,0,258,52
2035～2039,85,48,0,133,27
2040～2044,95,74,0,169,34
2045～2049,0,64,0,64,13
2050～2054,3,75,0,78,16
2055～2059,0,29,0,29,7
2010～2059,746,819,5,1570,
