基金,,合計金額,国債,,地方債,,政府保証債,,財投機関債等,,金融債,,外債,
２８年度,,7250,2354,32.5%,2648,36.5%,1006,13.9%,687,9.5%,455,6.3%,100,1.4%
２９年度,,7992,2055,25.7%,2677,33.5%,844,10.6%,1523,19.1%,793,9.9%,100,1.3%
２９年度第１四半期,,7535,2126,28.2%,2707,35.9%,856,11.4%,957,12.7%,788,10.5%,100,1.3%
第２四半期,,8007,2098,26.2%,2660,33.2%,854,10.7%,1501,18.7%,794,9.9%,100,1.2%
