全体,,,,,
,,,,,
,"30年度
第2四半期(A)","30年度
第1四半期(B)","対前期比
(A-B)","（参考）29年度
第2四半期(C)","対前年同期比
(A-C)"
平均残高,"6兆2,394億円","5兆5,580億円","6,814億円","5兆6,506億円","5,888億円"
利回り,0.037%,0.042%,△ 0.005,0.042%,△ 0.005
運用収入,"5億8,643万円","5億8,271万円",372万円,"5億9,181万円",△538万円
