全体,,,,,,,,
,第1四半期,第2四半期,第3四半期,第4四半期,"30年度
(A)","29年度
(B)","対前年度比
(A-B)",
平均残高,"5兆5,580億円","6兆2,394億円",6兆973億円,"6兆3,050億円",6兆499億円,"5兆4,512億円","5,987億円",
利回り,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,△ 0.004,
運用収入,"5億8,271万円","5億8,643万円","6億2,121万円","5億7,742万円","23億6,809万円","23億6,742万円",67万円,
