準公,,,,,,,
,第1四半期,第2四半期,第3四半期,第4四半期,"30年度
(A)","29年度
(B)","対前年度比
(A-B)"
平均残高,"4,963億円","5,150億円","5,164億円","5,245億円","5,130億円","4,875億円",255億円
利回り,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0
運用収入,813万円,"1,005万円","1,066万円","1,020万円","3,904万円","3,693万円",211万円
