準公営企業会計資金,,,,,
,,,,,
,"30年度
第2四半期(A)","30年度
第1四半期(B)","対前期比
(A-B)","（参考）29年度
第2四半期(C)","対前年同期比
(A-C)"
平均残高,"5,150億円","4,963億円",187億円,"4,914億円",236億円
利回り,0.008%,0.007%,0.001,0.009%,△ 0.001
運用収入,"1,005万円",813万円,192万円,"1,167万円",△162万円
