科目,金額（億円）
通常収支の部,
（１）　行政収支の部,
１　行政収入,51049
うち地方税,42998
国庫支出金,3462
使用料及手数料,831
２　行政費用,48726
うち給与関係費,13940
補助費等,10503
減価償却費,1103
行政収支差額,2323
（２）　金融収支の部,
１　金融収入,302
受取利息及配当金,302
２　金融費用,1084
うち公債費利子,1053
金融収支差額,-783
通常収支差額,1540
特別収支の部,
１　特別収入,254
固定資産売却益,45
その他特別収入,208
２　特別費用,199
うち固定資産売却損,20
固定資産除却損,98
その他特別費用,60
（特別収支差額）,55
当期収支差額,1594
