準公,,合計金額,都市銀行,,信託銀行,,地方銀行等,,外国銀行,
２９年度第１四半期,,"4,712","3,094",65.7%,"1,045",22.2%,464,9.8%,109,2.3%
第２四半期,,"4,914","3,299",67.1%,"1,060",21.6%,445,9.1%,110,2.2%
第３四半期,,"4,980","3,302",66.3%,"1,087",21.8%,481,9.7%,110,2.2%
第４四半期,,"4,892","3,200",65.4%,"1,079",22.1%,500,10.2%,113,2.3%
３０年度第１四半期,,"4,963","2,883",58.1%,"1,095",22.1%,563,11.3%,422,8.5%
,,,,,,,,,,
