全体,,,,,
,,,,,
,"令和元年度
第3四半期(A)","令和元年度
第2四半期(B)","対前期比
(A-B)","（参考）平成30年度
第3四半期(C)","対前年同期比
(A-C)"
平均残高,"6兆3,034億円","6兆6,476億円","△3,442億円",6兆973億円,"2,061億円"
利回り,0.00038,0.00034,0.004,0.0004,-0.002
運用収入,"5億9,731万円","5億7,630万円","2,101万円","6億2,121万円","△2,390万円"
