基金,,合計金額,都市銀行,,信託銀行,,地方銀行等,,外国銀行,
３０年度第１四半期,,"31,142","17,014",54.60%,"6,188",19.90%,"3,770",12.10%,"4,171",13.40%
第２四半期,,"32,525","19,073",58.60%,"4,903",15.10%,"3,850",11.80%,"4,699",14.40%
第３四半期,,"31,955","16,917",52.90%,"6,166",19.30%,"3,797",11.90%,"5,076",15.90%
第４四半期,,"31,259","15,990",51.20%,"6,162",19.70%,"3,706",11.90%,"5,400",17.30%
元年度第１四半期,,"30,690","15,212",49.60%,"6,171",20.10%,"4,234",13.80%,"5,072",16.50%
第２四半期,,"30,525","15,366",50.30%,"6,287",20.60%,"3,859",12.60%,"5,012",16.40%
第３四半期,,"29,884","15,814",52.90%,"5,950",19.90%,"3,256",10.90%,"4,864",16.30%
