基金,,,,,,,
,第1四半期,第2四半期,第3四半期,第4四半期,"29年度
(A)","28年度
(B)","対前年度比
(A-B)"
平均残高,"3兆5,749億円","3兆8,881億円","3兆8,376億円","3兆7,960億円","3兆7,746億円","3兆4,290億円","3,456億円"
利回り,0.065%,0.056%,0.059%,0.057%,0.059%,0.093%,△ 0.034
運用収入,"5億7,998万円","5億5,107万円","5億6,724万円","5億2,962万円","22億2,790万円","31億7,398万円","△9億4,608万円"
