会計,歳入予算現額(円),歳入収入済額(円),歳入予算現額に対する収入済額の増減(円),歳入予算現額に対する収入済額の割合(%),歳出予算現額(円),歳出支出済額(円),歳出翌年度繰越額(円),歳出不用額(円),歳出予算現額に対する支出済額の割合(%),歳入歳出差引残額(円)
一般会計,7226993135000 ,6964118037677 ,-262875097323 ,96.4 ,7226993135000 ,6693201515280 ,46944011000 ,486847608720 ,92.6 ,270916522397 
特別区財政調整会計,976300000000 ,976299046000 ,-954000 ,100.0 ,976300000000 ,976299046000 ,0 ,954000 ,100.0 ,0 
地方消費税清算会計,2121623000000 ,2087206918799 ,-34416081201 ,98.4 ,1926310000000 ,1884664203227 ,0 ,41645796773 ,97.8 ,202542715572 
小笠原諸島生活再建資金会計,372000000 ,757301218 ,385301218 ,203.6 ,372000000 ,10000000 ,0 ,362000000 ,2.7 ,747301218 
母子父子福祉貸付資金会計,4467000000 ,5384708495 ,917708495 ,120.5 ,4467000000 ,3058077649 ,0 ,1408922351 ,68.5 ,2326630846 
心身障害者扶養年金会計,4927000000 ,4790152266 ,-136847734 ,97.2 ,4927000000 ,4790152266 ,0 ,136847734 ,97.2 ,0 
中小企業設備導入等資金会計,2783000000 ,2726846322 ,-56153678 ,98.0 ,2783000000 ,1010427597 ,0 ,1772572403 ,36.3 ,1716418725 
林業・木材産業改善資金助成会計,52000000 ,103365936 ,51365936 ,198.8 ,52000000 ,0 ,0 ,52000000 ,0 ,103365936 
沿岸漁業改善資金助成会計,48000000 ,134429885 ,86429885 ,280.1 ,48000000 ,3537322 ,0 ,44462678 ,7.4 ,130892563 
と場会計,6785000000 ,5937466968 ,-847533032 ,87.5 ,6785000000 ,5937466968 ,0 ,847533032 ,87.5 ,0 
都営住宅等事業会計,191181000000 ,153266087064 ,-37914912936 ,80.2 ,191181000000 ,152114175950 ,15072000000 ,23994824050 ,79.6 ,1151911114 
都営住宅等保証金会計,7010000000 ,7969479468 ,959479468 ,113.7 ,1654000000 ,1366598280 ,0 ,287401720 ,82.6 ,6602881188 
都市開発資金会計,2196000000 ,1343253085 ,-852746915 ,61.2 ,2196000000 ,1343253085 ,0 ,852746915 ,61.2 ,0 
用地会計,18282458000 ,13252365699 ,-5030092301 ,72.5 ,18282458000 ,6145706412 ,10375000 ,12126376588 ,33.6 ,7106659287 
公債費会計,1147429000000 ,1143470985798 ,-3958014202 ,99.7 ,1147429000000 ,1143470985798 ,0 ,3958014202 ,99.7 ,0 
臨海都市基盤整備事業会計,5032295000 ,4921894380 ,-110400620 ,97.8 ,3665253000 ,1355290963 ,129192000 ,2180770037 ,37.0 ,3566603417 
（特別会計合計）,4488487753000 ,4407564301383 ,-80923451617 ,98.2 ,4286451711000 ,4181568921517 ,15211567000 ,89671222483 ,97.6 ,225995379866 
合      　　 計,11715480888000 ,11371682339060 ,-343798548940 ,97.1 ,11513444846000 ,10874770436797 ,62155578000 ,576518831203 ,94.5 ,496911902263 
　,,,,, ,,, ,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
