基金,,合計金額,国債,,地方債,,政府保証債,,財投機関債等,,金融債,,外債,
３０年度第１四半期,,"8,391","1,837",21.90%,"2,695",32.10%,704,8.40%,"2,226",26.50%,828,9.90%,100,1.20%
第２四半期,,"8,947","1,830",20.50%,"2,779",31.10%,649,7.30%,"2,671",29.90%,918,10.30%,100,1.10%
第３四半期,,"9,235","1,778",19.30%,"2,836",30.70%,587,6.40%,"2,936",31.80%,998,10.80%,100,1.10%
第４四半期,,"9,424","1,709",18.10%,"2,958",31.40%,515,5.50%,"3,088",32.80%,"1,054",11.20%,100,1.10%
元年度第１四半期,,"9,443","1,614",17.10%,"3,038",32.20%,415,4.40%,"3,278",34.70%,999,10.60%,100,1.10%
第２四半期,,"9,346","1,435",15.40%,"3,163",33.80%,414,4.40%,"3,384",36.20%,849,9.10%,100,1.10%
第３四半期,,"9,429","1,261",13.40%,"3,372",35.80%,404,4.30%,"3,604",38.20%,689,7.30%,100,1.10%
