全体,,,,,
,,,,,
,"令和元年度
第2四半期(A)","令和元年度
第1四半期(B)","対前期比
(A-B)","（参考）平成30年度
第2四半期(C)","対前年同期比
(A-C)"
平均残高,66476,59931,6545,62394,4082
利回り,0.00034,0.00038,-0.004,0.00037,△0.003
運用収入,57630,57346,284,58643,-1013
