基金,,,,,
,,,,,
,"令和元年度
第1四半期(A)","平成30年度
第4四半期(B)","対前期比
(A-B)","（参考）平成30年度
第1四半期(C)","対前年同期比
(A-C)"
平均残高,4兆376億円,4兆933億円,-557,"3兆9,795億円",581
利回り,0.00054,0.00053,0.001,0.00056,-0.002
運用収入,"5億4,816万円","5億3,467万円",1349,"5億5,468万円",-652
