歳計現金等,,,,,
,,,,,
,"30年度
第1四半期(A)","29年度
第4四半期(B)","対前期比
(A-B)","（参考）29年度
第1四半期(C)","対前年同期比
(A-C)"
平均残高,1兆822億円,"1兆4,101億円","△3,279億円","9,687億円","1,135億円"
利回り,0.007%,0.009%,△ 0.002,0.008%,△ 0.001
運用収入,"1,989万円","3,048万円","△1,059万円","1,852万円",137万円
