基金,,合計金額,都市銀行,,信託銀行,,地方銀行等,,外国銀行,
２９年度第１四半期,,"27,952","14,084",50.40%,"6,891",24.70%,"3,180",11.40%,"3,796",13.60%
第２四半期,,"30,623","15,181",49.60%,"8,455",27.60%,"3,142",10.30%,"3,845",12.60%
第３四半期,,"30,013","13,991",46.62%,"8,788",29.28%,"3,363",11.21%,"3,871",12.90%
第４四半期,,"29,390","13,039",44.37%,"8,611",29.30%,"3,684",12.54%,"4,056",13.80%
３０年度第１四半期,,"31,142","17,014",54.60%,"6,188",19.90%,"3,770",12.10%,"4,171",13.40%
第２四半期,,"32,525","19,073",58.60%,"4,903",15.10%,"3,850",11.80%,"4,699",14.40%
,,,,,,,,,,
