基金,,,,,
,,,,,
,"30年度
第2四半期(A)","30年度
第1四半期(B)","対前期比
(A-B)","（参考）29年度
第2四半期(C)","対前年同期比
(A-C)"
平均残高,"4兆1,723億円","3兆9,795億円","1,928億円","3兆8,881億円","2,842億円"
利回り,0.052%,0.056%,△ 0.004,0.056%,△ 0.004
運用収入,"5億4,314万円","5億5,468万円","△1,154万円","5億5,107万円",△793万円
