歳計現金等,,,,,
,"令和元年度
第2四半期(A)","令和元年度
第1四半期(B)","対前期比
(A-B)","（参考）平成30年度
第2四半期(C)","対前年同期比
(A-C)"
平均残高,16234,9212,7022,15521,713
利回り,0.00008,0.00004,0.004,0.00008,0
運用収入,3443,897,2546,3324,119
