準公,,合計金額,都市銀行,,信託銀行,,地方銀行等,,外国銀行,
２９年度第１四半期,,"4,712","3,094",65.70%,"1,045",22.20%,464,9.80%,109,2.30%
第２四半期,,"4,914","3,299",67.10%,"1,060",21.60%,445,9.10%,110,2.20%
第３四半期,,"4,980","3,302",66.31%,"1,087",21.83%,481,9.66%,110,2.21%
第４四半期,,"4,892","3,200",65.41%,"1,079",22.06%,500,10.22%,113,2.31%
３０年度第１四半期,,"4,963","2,883",58.10%,"1,095",22.10%,563,11.30%,422,8.50%
第２四半期,,"5,150","2,579",50.10%,"1,455",28.30%,585,11.40%,533,10.30%
,,,,,,,,,,
