全体,,,,,
,,,,,
,"30年度
第3四半期(A)","30年度
第2四半期(B)","対前期比
(A-B)","（参考）29年度
第3四半期(C)","対前年同期比
(A-C)"
平均残高,6兆0973億円,6兆2394億円,△1421億円,5兆4445億円,6528億円
利回り,0.040%,0.037%,0.003,0.044%,△ 0.004
運用収入,6億2121万円,5億8643万円,3478万円,5億9944万円,2177万円
