準公,,合計金額,都市銀行,,信託銀行,,地方銀行等,,外国銀行,
２９年度,,4875,"3,224",66.10%,"1,068",21.90%,472,9.70%,110,2.30%
３０年度,,5130,"2,567",50.00%,"1,453",28.30%,570,11.10%,540,10.50%
３０年度第１四半期,,4963,2883,58.10%,1095,22.10%,563,11.30%,422,8.50%
第２四半期,,5150,2579,50.10%,1455,28.30%,585,11.40%,533,10.30%
第３四半期,,5164,2297,44.50%,1636,31.70%,617,11.90%,614,11.90%
第４四半期,,5245,2511,47.87%,1628,31.04%,514,9.80%,593,11.31%
