準公営企業会計資金,,,,,
,,,,,
,"令和元年度
第1四半期(A)","平成30年度
第4四半期(B)","対前期比
(A-B)","（参考）平成30年度
第1四半期(C)","対前年同期比
(A-C)"
平均残高,1兆342億円,5245,5097,4963,5379
利回り,0.00006,0.00008,-0.002,0.00007,-0.001
運用収入,1634,1020,614,813,821
