区分,２００８費用（千ポンド）,一人当たり費用（ポンド）,全体に対する割合（％）
美術館、文書館,6135,4.80,15
図書館、情報サービス,20992,16.44,52
地方サービス,6391,5.01,16
スポーツ、コミュニティ、アウトドアサービス,3058,2.40,8
芸術,2852,2.23,7
観光、市場、計画,768,0.60,2
合計,40196,31.48,100
